feature,source,gain,group,gain_share
num__V214,V214,0.9655385613441467,V,0.0005975528705823546
num__id_05,id_05,0.9642277359962463,identity,0.0005967416264945167
cat__id_38_T,id_38,0.9527038335800171,identity,0.0005896097094020057
num__V16,V16,0.9509221315383911,V,0.0005885070489675909
num__dist1,dist1,0.949763298034668,dist,0.0005877898696498505
num__id_06,id_06,0.9480860829353333,identity,0.0005867518741338596
num__V101,V101,0.9475273489952087,V,0.0005864060846613518
num__D14,D14,0.9421862363815308,D,0.0005831005748638313
num__V80,V80,0.9409846067428589,V,0.0005823569098578831
num__V263,V263,0.9316883087158203,V,0.0005766036134135519
num__V128,V128,0.9143661856651306,V,0.00056588329133847
num__V113,V113,0.9129438996315002,V,0.0005650030664192272
num__V211,V211,0.9038985371589661,V,0.0005594050690659199
num__V275,V275,0.891177237033844,V,0.0005515321060257654
num__V316,V316,0.883888840675354,V,0.0005470214605266414
num__has_identity,has_identity,0.8833122253417969,has_identity,0.0005466646046105926
num__V127,V127,0.8785037994384766,V,0.0005436887641661554
num__V103,V103,0.8691149353981018,V,0.0005378781804324275
cat__id_16_NotFound,id_16,0.8627746105194092,identity,0.0005339542777698417
cat__id_28_New,id_28,0.8612353801727295,identity,0.0005330016783098414
cat__M2_T,M2,0.860781729221344,M,0.0005327209226372089
cat__M7_T,M7,0.856428861618042,M,0.0005300270182860486
num__V265,V265,0.8439024686813354,V,0.00052227467948049
num__D5,D5,0.8428876996040344,D,0.0005216466588095441
num__V195,V195,0.8413965702056885,V,0.0005207238280826688
num__id_02,id_02,0.830276370048523,identity,0.0005138417543971662
cat__id_15_Unknown,id_15,0.8267092704772949,identity,0.000511634146463338
num__V277,V277,0.825623631477356,V,0.000510962265787825
num__dist2,dist2,0.8235360980033875,dist,0.0005096703322807157
cat__id_15_Found,id_15,0.8217648267745972,identity,0.0005085741272716997
num__V203,V203,0.8158406615257263,V,0.0005049077776384558
num__V238,V238,0.814153254032135,V,0.0005038634742496465
cat__M1_<missing>,M1,0.8114079833030701,M,0.0005021644800609579
num__V39,V39,0.8075530529022217,V,0.0004997787392742665
num__V132,V132,0.806645393371582,V,0.0004992170066001305
cat__M1_T,M1,0.8051453232765198,M,0.0004982886426514848
num__V126,V126,0.7995198965072632,V,0.0004948071764016641
cat__M9_T,M9,0.7960591912269592,M,0.0004926654138069042
num__V119,V119,0.7876434326171875,V,0.00048745706593067184
