feature,source,gain,group,gain_share
num__V204,V204,4.072342395782471,V,0.00048362880769961026
num__V275,V275,4.0565266609191895,V,0.0004817505410286291
num__V297,V297,4.007360458374023,V,0.0004759115939055527
num__V177,V177,3.9862096309661865,V,0.0004733997350177278
num__D9,D9,3.9542040824890137,D,0.00046959877631989877
num__V268,V268,3.905485153198242,V,0.00046381294708567244
num__V155,V155,3.879101276397705,V,0.00046067961456118924
num__V17,V17,3.8544623851776123,V,0.0004577535154207646
num__V144,V144,3.742448568344116,V,0.00044445082536769567
num__V31,V31,3.726759195327759,V,0.00044258756534974785
num__V9,V9,3.7093894481658936,V,0.00044052474516089623
num__V212,V212,3.682572603225708,V,0.000437339993613944
num__V135,V135,3.656256914138794,V,0.00043421475901921086
num__V183,V183,3.645900011062622,V,0.0004329847797592702
num__V101,V101,3.618295669555664,V,0.0004297065056180366
num__D7,D7,3.6063151359558105,D,0.0004282837050238373
num__V202,V202,3.513688087463379,V,0.00041728337531935986
num__V176,V176,3.479595184326172,V,0.0004132345237020838
num__V218,V218,3.454728126525879,V,0.0004102813276428801
cat__id_12_<missing>,id_12,3.439847230911255,identity,0.000408514081889906
num__V263,V263,3.418048858642578,V,0.0004059253209838951
num__V42,V42,3.3876025676727295,V,0.00040230953872160964
num__V174,V174,3.3797757625579834,V,0.00040138003229561216
num__V264,V264,3.360349178314209,V,0.0003990729434355932
num__V121,V121,3.2830569744110107,V,0.0003898937701772512
cat__M3_<missing>,M3,3.24650239944458,M,0.0003855525719702217
num__V269,V269,3.1713311672210693,V,0.00037662528396732243
num__V110,V110,3.0821263790130615,V,0.0003660313797300915
num__V95,V95,3.0768702030181885,V,0.0003654071595927837
num__V118,V118,3.0296452045440674,V,0.0003597987486376271
num__V199,V199,3.0174195766448975,V,0.000358346840799431
cat__M1_T,M1,3.0006370544433594,M,0.0003563537590755249
num__V194,V194,2.9493391513824463,V,0.0003502616525472199
num__V158,V158,2.865485429763794,V,0.00034030323759429165
num__V302,V302,2.85168194770813,V,0.00033866394479425656
num__id_26,id_26,2.842440605163574,identity,0.0003375664487976047
cat__id_36_F,id_36,2.7041208744049072,identity,0.0003211396850418297
cat__M1_<missing>,M1,2.6850926876068115,M,0.0003188799096105253
num__V168,V168,2.636322259902954,V,0.0003130879644573269
num__V122,V122,2.5524141788482666,V,0.00030312309381215035
num__V233,V233,2.4554834365844727,V,0.0002916116601569089
cat__id_16_Found,id_16,2.3916079998016357,identity,0.000284025853677432
num__V325,V325,1.9565935134887695,V,0.00023236380837263735
num__V328,V328,1.8969216346740723,V,0.0002252772137792565
num__V106,V106,1.835569977760315,V,0.00021799112980107105
num__V114,V114,1.6925048828125,V,0.0002010008095950146
num__V120,V120,1.6454827785491943,V,0.0001954164942280304
num__V334,V334,1.6381990909576416,V,0.0001945514880956366
cat__id_35_T,id_35,1.1733589172363281,identity,0.00013934736301505804
cat__ProductCD_W,ProductCD,1.1228927373886108,product,0.0001333540314095961
num__V138,V138,0.7875624299049377,V,9.35304161453615e-05
cat__id_35_F,id_35,0.6811953186988831,identity,8.089832528180535e-05
num__V113,V113,0.6336517333984375,V,7.525207915661893e-05
num__V111,V111,0.4240379333496094,V,5.035847681611123e-05
cat__id_15_<missing>,id_15,0.0,identity,0.0
cat__id_12_Found,id_12,0.0,identity,0.0
num__V28,V28,0.0,V,0.0
cat__card6_<missing>,card6,0.0,card,0.0
cat__card6_charge card,card6,0.0,card,0.0
num__has_identity,has_identity,0.0,has_identity,0.0
num__V107,V107,0.0,V,0.0
cat__card6_debit or credit,card6,0.0,card,0.0
cat__M1_F,M1,0.0,M,0.0
cat__M2_<missing>,M2,0.0,M,0.0
